Title,Efficiency,tandem,Year,reference
Tailoring Defect Passivation for Efficient and Stable Perovskite Solar Cells via an Ionic Liquid Additive,24.41,single-junction,2024,"Tailoring Defect Passivation for Efficient and Stable Perovskite Solar Cells via an Ionic Liquid Additive. Wen, HX; Guo, YX; Yin, TZ; Zhang, Z; Si, SL; Huang, DX; Zhang, ZM; Tan, HT; Wu, HL; Huang, SM. 2024. ACS APPLIED ENERGY MATERIALS."
Ionic liquid-regulated PbI<sub>2</sub> layers and defect passivation for efficient perovskite solar cells,24.41,single-junction,2024,"Ionic liquid-regulated PbI<sub>2</sub> layers and defect passivation for efficient perovskite solar cells. Sun, YG; Hu, RY; Wang, F; Wang, TM; Liang, X; Zhou, XF; Yang, G; Li, YJ; Zhang, F; Zhu, QY; Li, XA; Hu, HL. 2024. JOURNAL OF MATERIALS CHEMISTRY C."
Synergistic Defect Healing and Device Encapsulation via Structure Regulation by Silicone Polymer Enables Durable Inverted Perovskite Photovoltaics with High Efficiency,24.41,single-junction,2024,"Synergistic Defect Healing and Device Encapsulation via Structure Regulation by Silicone Polymer Enables Durable Inverted Perovskite Photovoltaics with High Efficiency. Wang, T; Wan, Z; Min, X; Chen, R; Li, YK; Yang, JB; Pu, XY; Chen, H; He, XL; Cao, Q; Feng, GP; Chen, XY; Ma, ZY; Jiang, L; Liu, ZH; Li, Z; Chen, W; Li, XH. 2024. ADVANCED ENERGY MATERIALS."
Chemical Reaction of FA Cations Enables Efficient and Stable Perovskite Solar Cells,24.41,single-junction,2024,"Chemical Reaction of FA Cations Enables Efficient and Stable Perovskite Solar Cells. Wang, BH; Hui, W; Zhao, QQ; Zhang, YZ; Kang, XX; Li, MX; Gu, L; Bao, YQ; Su, JC; Zhang, J; Gao, XY; Pang, SP; Song, L. 2024. SMALL."
Ammonium iodide-incorporated SnO<sub>2</sub> obtains perovskite solar cells with over 24% efficiency,24.4,single-junction,2024,"Ammonium iodide-incorporated SnO<sub>2</sub> obtains perovskite solar cells with over 24% efficiency. Li, H; Xu, JY; Han, JH; Lan, QM; Wu, Z; Xie, MQ; Shao, C; Li, XA; Wang, JZ. 2024. APPLIED PHYSICS LETTERS."
Simultaneous Interfacial Modification and Crystallization Control by Biguanide Hydrochloride for Stable Perovskite Solar Cells with PCE of 24.4%,24.4,single-junction,2022,"Simultaneous Interfacial Modification and Crystallization Control by Biguanide Hydrochloride for Stable Perovskite Solar Cells with PCE of 24.4%. Xiong, Z; Chen, X; Zhang, B; Odunmbaku, GO; Ou, ZP; Guo, B; Yang, K; Kan, ZP; Lu, SR; Chen, SS; Ouedraogo, NAN; Cho, Y; Yang, C; Chen, JZ; Sun, K. 2022. ADVANCED MATERIALS."
Concurrent Top and Buried Surface Optimization for Flexible Perovskite Solar Cells with High Efficiency and Stability,24.4,single-junction,2023,"Concurrent Top and Buried Surface Optimization for Flexible Perovskite Solar Cells with High Efficiency and Stability. Liu, C; Huang, KX; Hu, BH; Li, YR; Zhang, LZ; Zhou, XY; Liu, YL; Liu, ZX; Sheng, YF; Chen, S; Wang, XZ; Xu, BM. 2023. ADVANCED FUNCTIONAL MATERIALS."
Room-temperature-processed perovskite solar cells surpassing 24% efficiency,24.4,single-junction,2024,"Room-temperature-processed perovskite solar cells surpassing 24% efficiency. Yi, A; Chae, S; Luong, HM; Lee, SH; Lee, H; Yoon, H; Kim, DH; Kim, HJ; Nguyen, TQ. 2024. JOULE."
Poly(carbazole phosphonic acid) as a versatile hole-transporting material for p-i-n perovskite solar cells and modules,24.4,single-junction,2023,"Poly(carbazole phosphonic acid) as a versatile hole-transporting material for p-i-n perovskite solar cells and modules. Ren, ZJ; Cui, ZW; Shi, XY; Wang, LY; Dou, YJ; Wang, FF; Lin, HR; Yan, H; Chen, SS. 2023. JOULE."
Ionic Liquid Stabilized Perovskite Solar Modules with Power Conversion Efficiency Exceeding 20%,24.4,single-junction,2022,"Ionic Liquid Stabilized Perovskite Solar Modules with Power Conversion Efficiency Exceeding 20%. Wang, YL; Yang, YF; Li, N; Hu, M; Raga, SR; Jiang, Y; Wang, C; Zhang, XL; Lira-Cantu, M; Huang, FZ; Cheng, YB; Lu, JF. 2022. ADVANCED FUNCTIONAL MATERIALS."
Efficient and Stable Perovskite Solar Cells with a High Open-Circuit Voltage Over 1.2 V Achieved by a Dual-Side Passivation Layer,24.4,single-junction,2022,"Efficient and Stable Perovskite Solar Cells with a High Open-Circuit Voltage Over 1.2 V Achieved by a Dual-Side Passivation Layer. Kim, JH; Kim, YR; Kim, J; Oh, CM; Hwang, IW; Kim, J; Zeiske, S; Ki, T; Kwon, S; Kim, H; Armin, A; Suh, H; Lee, K. 2022. ADVANCED MATERIALS."
Ruddlesden-Popper Perovskite Nanocrystals as Interface Modification Layer for Efficient Perovskite Solar Cells,24.39,single-junction,2024,"Ruddlesden-Popper Perovskite Nanocrystals as Interface Modification Layer for Efficient Perovskite Solar Cells. Wang, B; Liu, FZ; Feng, FX; Zhang, X; Liang, YC; Wang, WY; Guo, HC; Guan, Y; Zhang, YY; Wu, CC; Zheng, SJ. 2024. NANO LETTERS."
Solvation-Driven Grain Boundary Passivation Improving the Performance of Perovskite Solar Cells,24.39,single-junction,2024,"Solvation-Driven Grain Boundary Passivation Improving the Performance of Perovskite Solar Cells. Deng, CY; Tan, LA; Wu, JH; Yang, YQ; Du, YT; Chen, Q; Chen, X; Sun, LX; Yu, FD; Sun, WH; Gao, P; Lan, Z. 2024. ADVANCED ENERGY MATERIALS."
"Benzothieno[3,2-b]thiophene-Based Noncovalent Conformational Lock Achieves Perovskite Solar Cells with Efficiency over 24 %",24.39,single-junction,2023,"Benzothieno[3,2-b]thiophene-Based Noncovalent Conformational Lock Achieves Perovskite Solar Cells with Efficiency over 24 %. Zhang, H; Yu, X; Li, MJ; Zhang, ZL; Song, ZL; Zong, XP; Duan, GT; Zhang, WF; Chen, C; Zhang, WH; Liu, YS; Liang, M. 2023. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Spontaneous Interface Healing by a Dynamic Liquid-Crystal Transition for High-Performance Perovskite Solar Cells,24.38,single-junction,2022,"Spontaneous Interface Healing by a Dynamic Liquid-Crystal Transition for High-Performance Perovskite Solar Cells. Du, XY; Zhang, L; Chen, R; You, JX; Ma, YB; Wang, JG; Wu, Y; Liu, BB; Zhao, K; Chen, JZ; Chen, XB; An, ZW; Liu, SZ. 2022. ADVANCED MATERIALS."
Synchronous modulation of hole-selective self-assembled monolayer and buried interface for inverted perovskite solar cells,24.38,single-junction,2024,"Synchronous modulation of hole-selective self-assembled monolayer and buried interface for inverted perovskite solar cells. Wang, Y; Ye, JC; Song, JX; Cao, JY; Zhou, P; Xu, X; Zhou, Q; Li, GD; Tu, YB; Chu, L; Zang, Y; Yin, XX; Jin, YZ; Su, Z; Hu, L; Li, ZF; Yan, WS. 2024. CELL REPORTS PHYSICAL SCIENCE."
Autonomous Control of Ion Migration at α-FAPbI<sub>3</sub> Heterointerfaces via Interfacial-Self-Assembled 2D Perovskite,24.38,single-junction,2024,"Autonomous Control of Ion Migration at α-FAPbI<sub>3</sub> Heterointerfaces via Interfacial-Self-Assembled 2D Perovskite. Kim, J; Park, JS; Kim, GY; Jo, W. 2024. ADVANCED ENERGY MATERIALS."
Crystal Growth Regulation of 2D/3D Perovskite Films for Solar Cells with Both High Efficiency and Stability,24.37,single-junction,2022,"Crystal Growth Regulation of 2D/3D Perovskite Films for Solar Cells with Both High Efficiency and Stability. Zhou, T; Xu, ZY; Wang, R; Dong, XY; Fu, Q; Liu, YS. 2022. ADVANCED MATERIALS."
Perfluoroalkylsulfonyl ammonium for humidity- resistant printing high-performance phase-pure FAPbI<sub>3</sub> perovskite solar cells and modules,24.37,single-junction,2024,"Perfluoroalkylsulfonyl ammonium for humidity- resistant printing high-performance phase-pure FAPbI<sub>3</sub> perovskite solar cells and modules. Chen, XN; Yang, F; Yuan, LH; Huang, SH; Gu, H; Wu, XX; Shen, YX; Chen, YJ; Li, N; Egelhaaf, HJ; Brabec, CJ; Zhang, R; Gao, F; Li, YW; Li, YF. 2024. JOULE."
Synergy of Front-Surface Energy-Level Gradient and Lattice Anchoring Effect for Enhancing Perovskite Solar Cell Performance,24.37,single-junction,2024,"Synergy of Front-Surface Energy-Level Gradient and Lattice Anchoring Effect for Enhancing Perovskite Solar Cell Performance. Guo, MX; Pang, HM; Chen, XT; Wan, P; Xia, XQ; Chen, S. 2024. SMALL."
Coordination modulated passivation for stable organic-inorganic perovskite solar cells,24.37,single-junction,2023,"Coordination modulated passivation for stable organic-inorganic perovskite solar cells. Kajal, S; Jeong, J; Seo, J; Anand, R; Kim, Y; Bhaskararao, B; Park, CB; Yeop, J; Hagdfeldt, A; Kim, JY; Kim, KS. 2023. CHEMICAL ENGINEERING JOURNAL."
Depth-dependent defect manipulation in perovskites for high-performance solar cells,24.36,single-junction,2021,"Depth-dependent defect manipulation in perovskites for high-performance solar cells. Zhang, YZ; Wang, YJ; Zhao, LC; Yang, XY; Hou, CH; Wu, J; Su, R; Jia, S; Shyue, JJ; Luo, DY; Chen, P; Yu, MT; Li, QY; Li, L; Gong, QH; Zhu, R. 2021. ENERGY & ENVIRONMENTAL SCIENCE."
Intact 2D/3D halide junction perovskite solar cells via solid-phase in-plane growth,24.35,single-junction,2021,"Intact 2D/3D halide junction perovskite solar cells via solid-phase in-plane growth. Jang, YW; Lee, S; Yeom, KM; Jeong, K; Choi, K; Choi, M; Noh, JH. 2021. NATURE ENERGY."
Strain-less Perovskite Film Engineered by Interfacial Molecule for Stable Perovskite Solar Cells,24.35,single-junction,2024,"Strain-less Perovskite Film Engineered by Interfacial Molecule for Stable Perovskite Solar Cells. Park, DA; Zhang, CY; Park, NG. 2024. ACS ENERGY LETTERS."
Revealing the Role of Polyacrylonitrile for Highly Efficient and Stable Perovskite Solar Cells at Extremely Low Temperatures,24.34,single-junction,2024,"Revealing the Role of Polyacrylonitrile for Highly Efficient and Stable Perovskite Solar Cells at Extremely Low Temperatures. Yang, ZT; Wu, YK; Yang, N; Yang, R; Hao, YY. 2024. ADVANCED ENERGY MATERIALS."
Enhancing efficiency and stability of perovskite solar cells through methoxyamine hydrochloride modified SnO2 electron transport layer,24.34,single-junction,2024,"Enhancing efficiency and stability of perovskite solar cells through methoxyamine hydrochloride modified SnO2 electron transport layer. Chen, PX; Pan, WC; Wang, SB; Zheng, QS; Tong, AL; He, RW; Wu, JH; Sun, WH; Li, YL. 2024. CHEMICAL ENGINEERING JOURNAL."
High-Efficiency and Stable Perovskite Solar Cells via Buried Interface Modification with Multi-Functional Phosphorylcholine Chloride,24.34,single-junction,2024,"High-Efficiency and Stable Perovskite Solar Cells via Buried Interface Modification with Multi-Functional Phosphorylcholine Chloride. Yuan, Y; Cao, Y; Yang, Z; Liu, S; Feng, JS. 2024. ADVANCED FUNCTIONAL MATERIALS."
Achieving High-Quality Perovskite Films with Guanidine-Based Additives for Efficient and Stable Methylammonium-Free Perovskite Solar Cells,24.34,single-junction,2024,"Achieving High-Quality Perovskite Films with Guanidine-Based Additives for Efficient and Stable Methylammonium-Free Perovskite Solar Cells. Zhou, WW; Tai, SY; Li, Y; Fu, HT; Zheng, QD. 2024. ADVANCED FUNCTIONAL MATERIALS."
In situ growth of graphene on both sides of a Cu-Ni alloy electrode for perovskite solar cells with improved stability,24.34,single-junction,2022,"In situ growth of graphene on both sides of a Cu-Ni alloy electrode for perovskite solar cells with improved stability. Lin, XS; Su, HZ; He, SF; Song, YA; Wang, YB; Qin, ZZ; Wu, YZ; Yang, XD; Han, QF; Fang, JF; Zhang, YQ; Segawa, H; Grätzel, M; Han, LY. 2022. NATURE ENERGY."
Molecule-bridged electron-selective contact for high-efficiency halide-based perovskite solar cells,24.34,single-junction,2024,"Molecule-bridged electron-selective contact for high-efficiency halide-based perovskite solar cells. He, K; Zhang, J; Zhao, XL; Liu, F; Chen, RQ; Ma, JT; Du, B; Wang, YL; Song, L. 2024. JOURNAL OF MATERIALS CHEMISTRY A."
Cross-linked polyelectrolyte reinforced SnO<sub>2</sub> electron transport layer for robust flexible perovskite solar cells,24.34,single-junction,2023,"Cross-linked polyelectrolyte reinforced SnO<sub>2</sub> electron transport layer for robust flexible perovskite solar cells. Li, ZH; Wan, Z; Jia, CM; Zhang, M; Zhang, MH; Xue, JY; Shen, JH; Li, C; Zhang, C; Li, Z. 2023. JOURNAL OF ENERGY CHEMISTRY."
Green-solvent Processable Dopant-free Hole Transporting Materials for Inverted Perovskite Solar Cells,24.34,single-junction,2023,"Green-solvent Processable Dopant-free Hole Transporting Materials for Inverted Perovskite Solar Cells. Yu, XY; Gao, DP; Li, Z; Sun, XL; Li, B; Zhu, ZL; Li, ZA. 2023. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Ionic-Liquid-Perovskite Capping Layer for Stable 24.33%-Efficient Solar Cell,24.33,single-junction,2022,"Ionic-Liquid-Perovskite Capping Layer for Stable 24.33%-Efficient Solar Cell. Zhu, XJ; Yang, S; Cao, YX; Duan, LJ; Du, MY; Feng, JS; Jiao, YX; Jiang, X; Sun, YM; Wang, H; Zuo, SN; Liu, YC; Liu, SZ. 2022. ADVANCED ENERGY MATERIALS."
Stable and efficient perovskite solar cells based on tert-butyl peroxy-2-ethylhexanoate modified hole transport layer,24.33,single-junction,2024,"Stable and efficient perovskite solar cells based on tert-butyl peroxy-2-ethylhexanoate modified hole transport layer. Xu, J; Wu, JH; Zheng, QS; Chen, X; Lin, WH; Sun, LX; Sun, WH; Lan, Z. 2024. MATERIALS TODAY PHYSICS."
Dopant-Free Pyrene-Based Hole Transporting Material Enables Efficient and Stable Perovskite Solar Cells,24.33,single-junction,2024,"Dopant-Free Pyrene-Based Hole Transporting Material Enables Efficient and Stable Perovskite Solar Cells. Zhang, XF; Liu, XP; Tirani, FF; Ding, B; Chen, JL; Rahim, G; Han, MY; Zhang, K; Zhou, Y; Quan, HY; Li, BT; Du, WL; Brooks, KG; Dai, SY; Fei, ZF; Asiri, AM; Dyson, PJ; Nazeeruddin, MK; Ding, Y. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
2-Amino-5-chlorobenzophenone passivating perovskite films using multiple functional groups towards high-performance solar cells,24.32,single-junction,2023,"2-Amino-5-chlorobenzophenone passivating perovskite films using multiple functional groups towards high-performance solar cells. Wu, YX; Lu, CR; Gao, F; Li, YR; Shi, BA; Cai, XD; Yang, F; Zhang, JQ; Liu, SZ. 2023. JOURNAL OF MATERIALS CHEMISTRY C."
Volatile Perovskite Precursor Ink Enables Window Printing of Phase-Pure FAPbI<sub>3</sub> Perovskite Solar Cells and Modules in Ambient Atmosphere,24.32,single-junction,2024,"Volatile Perovskite Precursor Ink Enables Window Printing of Phase-Pure FAPbI<sub>3</sub> Perovskite Solar Cells and Modules in Ambient Atmosphere. Yuan, LH; Chen, XN; Guo, XM; Huang, SH; Wu, XX; Shen, YX; Gu, H; Chen, YJ; Zeng, GX; Egelhaaf, HJ; Brabec, CJ; Yang, F; Li, YW; Li, YF. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Lattice Strain Regulation and Halogen Vacancies Passivation Enable High-Performance Formamidine-Based Perovskite Solar Cells,24.32,single-junction,2024,"Lattice Strain Regulation and Halogen Vacancies Passivation Enable High-Performance Formamidine-Based Perovskite Solar Cells. Sun, YS; Miao, WJ; Sun, WW; Niu, ZJ; Yin, R; Huo, XN; Wang, KX; You, TT; Yin, PG. 2024. SMALL."
Minimizing voltage loss for perovskite solar cells via synergistically passivating defects and reinforcing interfacial electric field,24.31,single-junction,2024,"Minimizing voltage loss for perovskite solar cells via synergistically passivating defects and reinforcing interfacial electric field. Wang, LX; Liu, MH; Yang, XX; Fan, L; Wei, MB; Liu, HL; Liu, XY; Yang, JH; Wang, FY; Yang, LL. 2024. NANO ENERGY."
Crosslinkable and Chelatable Organic Ligand Enables Interfaces and Grains Collaborative Passivation for Efficient and Stable Perovskite Solar Cells,24.31,single-junction,2022,"Crosslinkable and Chelatable Organic Ligand Enables Interfaces and Grains Collaborative Passivation for Efficient and Stable Perovskite Solar Cells. Ma, ZW; Yu, RN; Xu, ZY; Wu, GZ; Gao, HZ; Wang, RY; Gong, YS; Yang, J; Tan, ZA. 2022. SMALL."
Near-Stoichiometric and Homogenized Perovskite Films for Solar Cells with Minimized Performance Variation,24.31,single-junction,2023,"Near-Stoichiometric and Homogenized Perovskite Films for Solar Cells with Minimized Performance Variation. Feng, WH; Tao, JL; Liu, GL; Yang, G; Zhong, JX; Fang, YX; Gong, L; Yang, SP; Wu, WQ. 2023. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
Dual-Site Crystallization Regulation for Highly Efficient and Stable Perovskite Solar Cells,24.31,single-junction,2024,"Dual-Site Crystallization Regulation for Highly Efficient and Stable Perovskite Solar Cells. Xi, JN; Zhang, Y; Gao, HX; Li, ZW; Liu, CY; Guo, WB. 2024. IEEE ELECTRON DEVICE LETTERS."
Band alignment of TiO<sub>2</sub> by controling Cl content for high-efficiency perovskite solar cells,24.31,single-junction,2024,"Band alignment of TiO<sub>2</sub> by controling Cl content for high-efficiency perovskite solar cells. Ji, L; Zhang, T; Li, SB. 2024. JOURNAL OF MATERIALS CHEMISTRY C."
Optically and Mechanically Engineered Anti-Reflective Film for Highly Efficient Rigid and Flexible Perovskite Solar Cells,24.31,single-junction,2022,"Optically and Mechanically Engineered Anti-Reflective Film for Highly Efficient Rigid and Flexible Perovskite Solar Cells. Choi, JS; Jang, YW; Kim, U; Choi, M; Kang, SM. 2022. ADVANCED ENERGY MATERIALS."
Efficient Blade-Coated p-i-n Perovskite Solar Cells and Modules Enabled by Effective Molecular <i>N</i> Doping,24.3,single-junction,2024,"Efficient Blade-Coated p-i-n Perovskite Solar Cells and Modules Enabled by Effective Molecular <i>N</i> Doping. Wang, FF; Shi, XY; Yu, H; Wang, LY; Ren, ZJ; Chen, SS. 2024. SMALL."
Damp heat-stable perovskite solar cells with tailored-dimensionality 2D/3D heterojunctions,24.3,single-junction,2022,"Damp heat-stable perovskite solar cells with tailored-dimensionality 2D/3D heterojunctions. Azmi, R; Ugur, E; Seitkhan, A; Aljamaan, F; Subbiah, AS; Liu, J; Harrison, GT; Nugraha, M; Eswaran, MK; Babics, M; Chen, Y; Xu, FZ; Allen, TG; Rehman, AU; Wang, CL; Anthopoulos, TD; Schwingenschlögl, U; De Bastiani, M; Aydin, E; De Wolf, S. 2022. SCIENCE."
Trace Water in Lead Iodide Affecting Perovskite Crystal Nucleation Limits the Performance of Perovskite Solar Cells,24.3,single-junction,2024,"Trace Water in Lead Iodide Affecting Perovskite Crystal Nucleation Limits the Performance of Perovskite Solar Cells. Guo, RJ; Xiong, Q; Ulatowski, A; Li, SS; Ding, ZJ; Xiao, TX; Liang, SZ; Heger, JE; Guan, TF; Jiang, XY; Sun, K; Reb, LK; Reus, MA; Chumakov, A; Schwartzkopf, M; Yuan, MJ; Hou, Y; Roth, SV; Herz, LM; Gao, P; Müller-Buschbaum, P. 2024. ADVANCED MATERIALS."
Conformal Imidazolium 1D Perovskite Capping Layer Stabilized 3D Perovskite Films for Efficient Solar Modules,24.3,single-junction,2022,"Conformal Imidazolium 1D Perovskite Capping Layer Stabilized 3D Perovskite Films for Efficient Solar Modules. Chen, RH; Shen, H; Chang, Q; Tang, ZH; Nie, SQ; Chen, BL; Ping, T; Wu, BH; Yin, J; Li, J; Zheng, NF. 2022. ADVANCED SCIENCE."
2D BA<sub>2</sub>PbI<sub>4</sub> Regulating PbI<sub>2</sub> Crystallization to Induce Perovskite Growth for Efficient Solar Cells,24.3,single-junction,2024,"2D BA<sub>2</sub>PbI<sub>4</sub> Regulating PbI<sub>2</sub> Crystallization to Induce Perovskite Growth for Efficient Solar Cells. Shao, C; He, JD; Niu, GS; Dong, Y; Yang, KY; Cao, XF; Wang, JZ; Yang, HX. 2024. SMALL."
Hydrogen bond-mediated pseudo-halide complexation for stable and efficient perovskite precursors and solar cells,24.3,single-junction,2024,"Hydrogen bond-mediated pseudo-halide complexation for stable and efficient perovskite precursors and solar cells. Yong, T; Choi, S; Kim, SK; Han, S; Seo, G; Kim, HJ; Park, JY; Yu, HN; You, HR; Lee, EJ; Lee, G; Lee, W; Kim, S; Yun, S; Lee, Y; Lee, J; Kim, DH; Lim, SJ; Nam, DH; Kim, Y; Lim, J; Moon, BJ; Choi, J. 2024. ENERGY & ENVIRONMENTAL SCIENCE."
Minimizing the Interface-Driven Losses in Inverted Perovskite Solar Cells and Modules,24.3,single-junction,2023,"Minimizing the Interface-Driven Losses in Inverted Perovskite Solar Cells and Modules. Zhang, X; Qiu, WM; Apergi, S; Singh, S; Marchezi, P; Song, WY; Sternemann, C; Elkhouly, K; Zhang, D; Aguirre, A; Merckx, T; Krishna, A; Shi, YY; Bracesco, A; van Helvoirt, C; Bens, F; Zardetto, V; D'Haen, J; Yu, AR; Brocks, G; Aernouts, T; Moons, E; Tao, SX; Zhan, YQ; Kuang, YH; Poortmans, J. 2023. ACS ENERGY LETTERS."
Surface Polarity Regulation by Relieving Fermi-Level Pinning with Naphthalocyanine Tetraimides toward Efficient Perovskite Solar Cells with Improved Photostability,24.3,single-junction,2022,"Surface Polarity Regulation by Relieving Fermi-Level Pinning with Naphthalocyanine Tetraimides toward Efficient Perovskite Solar Cells with Improved Photostability. Zhou, Q; Cai, CS; Xiong, Q; Zhang, ZL; Xu, JB; Liang, LS; Wang, SB; Sun, WH; Yuan, ZY; Gao, P. 2022. ADVANCED ENERGY MATERIALS."
Combined Vacuum Evaporation and Solution Process for High-Efficiency Large-Area Perovskite Solar Cells with Exceptional Reproducibility,24.3,single-junction,2023,"Combined Vacuum Evaporation and Solution Process for High-Efficiency Large-Area Perovskite Solar Cells with Exceptional Reproducibility. Tan, LG; Zhou, JJ; Zhao, X; Wang, SY; Li, MH; Jiang, CF; Li, H; Zhang, Y; Ye, YR; Tress, W; Ding, LM; Grätzel, M; Yi, CY. 2023. ADVANCED MATERIALS."
Full-Spectral Response Perovskite Solar Cells Through Integration of MXene Modified Near-Infrared Organic Heterojunction and Waveguide-Structure Quantum-Cutting Down-Converter,24.3,single-junction,2024,"Full-Spectral Response Perovskite Solar Cells Through Integration of MXene Modified Near-Infrared Organic Heterojunction and Waveguide-Structure Quantum-Cutting Down-Converter. Shi, ZC; Zhou, DL; Zhuang, XM; Xu, W; Liu, SN; Liao, YQ; Jia, PY; Pan, GC; Liu, W; Zhu, JC; Song, HW. 2024. ADVANCED ENERGY MATERIALS."
Strategy of Enhancing Built-in Field to Promote the Application of C-TiO<sub>2</sub>/SnO<sub>2</sub> Bilayer Electron Transport Layer in High-Efficiency Perovskite Solar Cells (24.3%),24.3,single-junction,2022,"Strategy of Enhancing Built-in Field to Promote the Application of C-TiO<sub>2</sub>/SnO<sub>2</sub> Bilayer Electron Transport Layer in High-Efficiency Perovskite Solar Cells (24.3%). Shu, H; Peng, CT; Chen, Q; Huang, ZF; Deng, C; Luo, WJ; Li, HJ; Zhang, WF; Zhang, WH; Huang, YL. 2022. SMALL."
"Tuning Pyrrolo[3,2-b] pyrrole Core-based hole transport materials properties via Addition of fluorine for highly efficient and Stable planar perovskite solar cells",24.3,single-junction,2025,"Tuning Pyrrolo[3,2-b] pyrrole Core-based hole transport materials properties via Addition of fluorine for highly efficient and Stable planar perovskite solar cells. Ravi, M; Zhai, MD; Chen, C; Wang, HX; Xia, ZY; Tian, Y; Kumar, D; Sathiyan, G; Cheng, M. 2025. APPLIED SURFACE SCIENCE."
Additive engineered SnO<sub>2</sub>-based electron transport layer for the robust and high-efficiency large-scale perovskite solar cell,24.3,single-junction,2024,"Additive engineered SnO<sub>2</sub>-based electron transport layer for the robust and high-efficiency large-scale perovskite solar cell. Kim, BJ; Seo, G; Park, S; Lee, DHY; Luo, YQ; Wieghold, S; Kim, MC; Boschloo, G. 2024. JOURNAL OF MATERIALS CHEMISTRY A."
F for Fantastic: Fostering Stability and Efficiency in Perovskite Solar Cells via Comb-Like Perfluoroalkyl-<i>g</i>-Polyethylenimine Additive,24.29,single-junction,2024,"F for Fantastic: Fostering Stability and Efficiency in Perovskite Solar Cells via Comb-Like Perfluoroalkyl-<i>g</i>-Polyethylenimine Additive. Zhang, ZL; Hu, CZ; Li, YH; Xiong, Q; Li, TH; Wang, C; Li, C; Liang, LS; Zhang, N; Li, F; Liu, CM; Fan, WH; Lien, SY; Gao, P. 2024. SMALL METHODS."
Rationally reconstructing the surface microstructure of a chemical bath deposited electron transport layer for efficient and stable perovskite solar cells,24.29,single-junction,2024,"Rationally reconstructing the surface microstructure of a chemical bath deposited electron transport layer for efficient and stable perovskite solar cells. Yang, XX; Wang, LX; Liu, MH; Jin, JH; Yang, LL; Fan, L; Wei, MB; Liu, HL; Chen, HR; Yang, JH; Chang, YL; Wang, FY. 2024. INORGANIC CHEMISTRY FRONTIERS."
Single-Crystal Methylammonium-Free Perovskite Solar Cells with Efficiencies Exceeding 24% and High Thermal Stability,24.29,single-junction,2023,"Single-Crystal Methylammonium-Free Perovskite Solar Cells with Efficiencies Exceeding 24% and High Thermal Stability. Lintangpradipto, MN; Zhu, HW; Shao, BY; Mir, WJ; Gutiérrez-Arzaluz, L; Turedi, B; Abulikemu, M; Mohammed, OF; Bakr, OM. 2023. ACS ENERGY LETTERS."
Synchronous Elimination of Excess Photoinstable PbI<sub>2</sub> and Interfacial Band Mismatch for Efficient and Stable Perovskite Solar Cells,24.28,single-junction,2024,"Synchronous Elimination of Excess Photoinstable PbI<sub>2</sub> and Interfacial Band Mismatch for Efficient and Stable Perovskite Solar Cells. He, JC; Sheng, WP; Yang, J; Zhong, Y; Cai, QQ; Liu, YK; Guo, Z; Tan, LC; Chen, YW. 2024. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
"Synergetic Excess PbI<sub>2</sub> and Reduced Pb Leakage Management Strategy for 24.28% Efficient, Stable and Eco-Friendly Perovskite Solar Cells",24.28,single-junction,2023,"Synergetic Excess PbI<sub>2</sub> and Reduced Pb Leakage Management Strategy for 24.28% Efficient, Stable and Eco-Friendly Perovskite Solar Cells. Zhang, YH; Xu, L; Wu, YJ; Zhang, H; Zeng, FC; Xing, JH; Liu, B; Qi, Y; Dong, B; Bai, X; Song, HW. 2023. ADVANCED FUNCTIONAL MATERIALS."
Unveiling the key factor affecting the illumination deterioration and response measures for lead halide perovskite solar cells,24.28,single-junction,2022,"Unveiling the key factor affecting the illumination deterioration and response measures for lead halide perovskite solar cells. Ye, FH; Wang, HB; Ke, WJ; Tao, C; Fang, GJ. 2022. JOURNAL OF ENERGY CHEMISTRY."
Polymer-assisted crystal growth regulation and defect passivation for efficient perovskite solar cells,24.27,single-junction,2024,"Polymer-assisted crystal growth regulation and defect passivation for efficient perovskite solar cells. Liu, J; Cai, WX; Shang, WZ; Li, WR; Wang, SH; Cai, WQ; Shi, YT; Wang, YD. 2024. APPLIED PHYSICS LETTERS."
Integrated Ideal-Bandgap Perovskite/Bulk-Heterojunction Solar Cells with Efficiencies > 24%,24.27,single-junction,2022,"Integrated Ideal-Bandgap Perovskite/Bulk-Heterojunction Solar Cells with Efficiencies > 24%. Zhou, XY; Zhang, LZ; Yu, JW; Wang, D; Liu, C; Chen, S; Li, YR; Li, Y; Zhang, MQ; Peng, YJ; Tian, YQ; Huang, JS; Wang, XZ; Guo, XG; Xu, BM. 2022. ADVANCED MATERIALS."
